symbol,revenue_year_ago,total_revenue,basic_eps,sub_sector_id
HDTX.JK,,6005743000.0,-0.02,9
HEAL.JK,4900000000.0,4901810000000.0,20.64,23
HELI.JK,,44557817161.0,-103.0,33
HERO.JK,,4436667000000.0,14.0,15
HITS.JK,,1738388511167.73,17.8115441590099,18
HMSP.JK,111210000000.0,111211321000000.0,54.0,3
HOKI.JK,1210000000.0,925708985640.0,0.19,2
HOMI.JK,,74323254468.0,4.46,7
HRME.JK,,86204240933.0,-3.82,11
HRTA.JK,,6918453560506.0,55.05,9
HRUM.JK,13340000000000.0,14008203238887.0,352.51369135571,18
HUMI.JK,,1417676913723.85,,18
IATA.JK,,2974751990245.08,20.7543210200638,18
IBOS.JK,,78494559551.0,0.94,2
IBST.JK,,1088236706064.0,31.0,6
ICBP.JK,64800000000.0,64797516000000.0,393.0,2
IDPR.JK,,1060124902677.0,-4.0,27
IFII.JK,,867146336664.0,10.0,8
IFSH.JK,,939031325558.0,93.74,8
IGAR.JK,,1083672730660.0,73.52,8
IIKP.JK,,6629120976.0,-14.29,12
IKAI.JK,,235624901000.0,-2.81,5
IMJS.JK,,4825433552907.0,16.76,33
IMPC.JK,,2808698656787.0,5.766364,5
INAF.JK,,1144108230742.0,-138.25,24
INAI.JK,,1438866482203.0,-180.0,8
INCO.JK,17329999999999.998,18267705549071.8,312.863645227827,8
INDF.JK,110830000000.0,110830272000000.0,724.0,2
INDR.JK,,14499237882234.4,1006.73945246578,9
INDS.JK,,3642215794469.0,320.31,10
INDY.JK,64800000000000.0,67140394611915.9,1345.9332064504,18
INKP.JK,,61993962278492.4,2427.63602737671,8
INPC.JK,,1115488000000.0,2.72,19
INPP.JK,,955541184718.0,2.51,7
INPS.JK,,281984072223.0,-115.03,18
INTA.JK,,661309000000.0,-26.0,5
INTP.JK,16329999999.999998,16328278000000.0,529.44,8
IPCC.JK,,726573259000.0,88.94,28
IPCM.JK,,980168475000.0,28.55,28
IPOL.JK,,3526710184020.21,7.74414963435215,8
IPTV.JK,,2678799000000.0,-2.92,13
IRRA.JK,,753571541696.0,30.68,23
ISAT.JK,46750000000.0,46752319000000.0,587.41,6
ISSP.JK,,6255945000000.0,43.29,8
ITMA.JK,,3070276540.63379,525.053345209076,18
ITMG.JK,53950000000000.0,56318755148753.0,16572.4802175136,18
JARR.JK,,4707542336960.0,5.8,2
JAWA.JK,,971541518082.0,-79.53,2
JAYA.JK,,79236924565.0,5.57,32
JECC.JK,,2816473345000.0,381.0,5
JGLE.JK,,191996000000.0,-33.58,11
JIHD.JK,,1266978042000.0,1.66,11
JKON.JK,4500000000.0,4465174493000.0,12.31,27
JPFA.JK,48970000000.0,48972085000000.0,122.0,2
JRPT.JK,2260000000.0,2258974450000.0,65.17,7
JSMR.JK,16579999999.999998,16582849000000.0,378.47,28
JSPT.JK,,1376550783000.0,-19.0,11
JTPE.JK,,1423142732743.0,29.71,25
KAEF.JK,6130000000.0,9606145359000.0,-32.29,24
KARW.JK,,110561009502.85,25.245927807988,28
KBLI.JK,,2221091331884.0,16.0,5
KBLV.JK,,140413000000.0,-156.0,6
KEEN.JK,,647918600393.568,52.6602175135946,29
KEJU.JK,,1044368857579.0,78.25,2
KIAS.JK,,647952496309.0,0.43,5
KIJA.JK,2990000000.0,2720261372934.0,-3.12,7
KINO.JK,,3631451490321.0,-687.0,16
KIOS.JK,,363872667991.0,0.87,30
KKGI.JK,,3949012680492.27,128.552883930246,18
KLBF.JK,28930000000.0,28933502646719.0,72.71,24
KMTR.JK,,11484294844569.0,-2.9,8
KOIN.JK,,3111392892032.0,-74.7,5
KONI.JK,,178583574879.0,37.0,25
KOTA.JK,,20948231306.0,-2.0,11
KPIG.JK,,1121876641357.0,2.09,11
KRAS.JK,,34671069026870.4,15.4882992687043,8
KREN.JK,,12254225044928.0,-5.43,30
LAND.JK,,52968882351.0,-2.84,7
LAPD.JK,,0.0,58.77,29
LIFE.JK,,3412112000000.0,175.0,4
LINK.JK,,4370781000000.0,87.48316,6
LPCK.JK,1460000000.0,1243608000000.0,115.0,7
LPGI.JK,,2201827693506.0,246.0,4
LPKR.JK,14670000000.0,14674086000000.0,-38.0,7
LPLI.JK,,25061000000.0,33.04,7
LPPF.JK,6450000000.0,6454583000000.0,582.0,14
LPPS.JK,,225000000.0,-104.51,21
LSIP.JK,6360000000.0,4585348000000.0,152.0,2
LTLS.JK,,7879115000000.0,206.0,8
MAHA.JK,,1641926920000.0,30.098451,18
MAIN.JK,11100000000.0,11101647275000.0,12.0,2
MAPA.JK,9800000000.0,9801240000000.0,41.2,14
MAPB.JK,,3437108000000.0,67.0,11
MAPI.JK,26940000000.0,26937340000000.0,128.0,14
MARK.JK,,823656040401.0,63.97,5
MASA.JK,,7196882985820.19,89.2126037877367,10
MASB.JK,,799125176107.0,237.76,19
MAYA.JK,,1902526000000.0,2.2,19
MBAP.JK,,6962541966689.74,2261.29169323083,18
MBMA.JK,,7058598555646.63,,8
MBSS.JK,915890000.0,1368763362268.25,223.031509469342,18
MCAS.JK,12310000000.0,12314877728637.0,28.0,30
MCOL.JK,,16490769743195.8,1534.8904575286,18
MCOR.JK,,912996000000.0,3.59,19
MDIA.JK,,1265960458000.0,0.81,13
MDKA.JK,13040000000000.0,13472946202119.7,38.7207481717607,8
MDLN.JK,3200000000.0,1098860308931.0,1.63,7
MDRN.JK,,65015524242.0,10.2,25
MEDC.JK,34299999999999.996,35812473077134.5,341.594440371273,18
MEGA.JK,,7638498000000.0,345.0,19
MERK.JK,,1124599738000.0,401.0,24
META.JK,,1402370096384.0,4.09,28
MFIN.JK,,2146134000000.0,248.0,20
MGRO.JK,,7505700941167.0,-5.69,2
MICE.JK,,974636523540.0,80.61,1
MIDI.JK,,15623654000000.0,13.11864,15
MIKA.JK,4050000000.0,4048932635364.0,71.61,23
MINA.JK,,9306489051.0,-0.53,11
MIRA.JK,,84393762429.0,-7.98,32
MKNT.JK,,2044320576210.0,-5.1,14
MKPI.JK,,1950931780269.0,739.68,7
MKTR.JK,,627880911000.0,6.2,2
MLBI.JK,3110000000.0,3114907000000.0,439.0,2
MLIA.JK,,5073812958000.0,129.06,5
MLPL.JK,,10859410000000.0,10.0,15
MLPT.JK,,3442223000000.0,298.0,30
MMLP.JK,,334523481000.0,16.0,7
MNCN.JK,,9065210000000.0,155.47,13
MOLI.JK,,1515319792000.0,3.0,8
MORA.JK,,4647651287354.0,26.0,6
MPMX.JK,12740000000.0,12742854000000.0,152.0,14
MPPA.JK,7020000000.0,7414473000000.0,-51.0,15
MPRO.JK,,14462704000.0,-2.935416,7
MRAT.JK,,285177566612.0,158.44,16
MREI.JK,,1878775356990.0,73.0,4
MSIN.JK,,3517808000000.0,29.69,13
MSKY.JK,,1114894000000.0,-24.53837,13
MTDL.JK,20990000000.0,20988297000000.0,47.0,31
MTEL.JK,7730000000.0,7728929831000.0,21.0,6
MTLA.JK,,1384828000000.0,51.64,7
MTMH.JK,,822286304681.0,33.0,23
MTPS.JK,,918021149.0,-20.73,27
MYOH.JK,,2191769488209.79,99.1251153197075,18
MYOR.JK,30670000000.0,30669405967404.0,87.0,2
MYTX.JK,,1623733000000.0,-2.65,9
NASA.JK,,14258055710.0,-0.03,7
NATO.JK,,4876773323.0,-0.17,11
NETV.JK,,438679000808.0,-8.0,13
NFCX.JK,,9836622374855.0,35.47,30
NICL.JK,,1132267113854.0,15.5,8
NIKL.JK,1360000000.0,3954894222744.87,43.367237952372,8
NIRO.JK,,908453615821.0,-7.6,7
NISP.JK,,10606514000000.0,144.99,19
NOBU.JK,,729994000000.0,20.965793,19
NRCA.JK,,2462407757122.0,31.0,27
NSSS.JK,,1134094562861.0,2.952564,2
OMED.JK,,1739054461606.0,10.56,23
OMRE.JK,,88296513447.0,-135.37,7
PADI.JK,,2480938604.0,-4.16,22
PALM.JK,,0.0,33.85,2
PANI.JK,,872132130000.0,27.19,2
PANS.JK,,343848565715.0,347.86,22
PBID.JK,,5030424255000.0,188.19,8
PBRX.JK,6460000000000.0,10687604046545.8,6.41215589724358,9
PBSA.JK,,731846535897.0,44.56,27
PCAR.JK,,228289602674.0,4.227952,15
PEHA.JK,,1168474434000.0,33.0,24
PGAS.JK,53270000000000.0,55271463843934.5,201.347890493156,18
PGEO.JK,,5979536722070.13,47.6420085505344,29
PGLI.JK,,20346429636.0,12.88,11
PGUN.JK,,1007305060864.0,30.0,2
PICO.JK,,549569631061.0,16.46,8
PIPA.JK,,39069495589.0,,5
PJAA.JK,,957879000000.0,96.0,11
PLIN.JK,,1096117308000.0,157.64,7
PMJS.JK,,11509464649302.0,20.27,14
PNBN.JK,4200000000.0,11228936000000.0,126.28,19
PNBS.JK,,585089948000.0,6.45,19
PNIN.JK,,3138377000000.0,402.91,4
PNLF.JK,5100000000.0,2715058000000.0,56.16,4
POLA.JK,,12799047509.0,0.15,20
POLI.JK,,330487533012.0,77.12,7
POLL.JK,,339337344812.0,57.51,7
POLU.JK,,126547485872.0,-8.0,9
PORT.JK,,1256221358000.0,7.27,28
POSA.JK,,59529722921.0,-16.0,7
POWR.JK,8250000000000.0,8525547807278.64,71.2461766360397,29
PPRE.JK,,3635195678682.0,9.85,27
PPRO.JK,,1704677634556.0,0.34,7
PRAY.JK,,1522624000000.0,4.79,23
PRDA.JK,,2181642000000.0,396.42,23
PRIM.JK,,261933013826.0,6.37,23
PSAB.JK,,1553037571179.56,-12.3906394149634,8
PSGO.JK,,1972824875264.0,13.67,2
PSSI.JK,,1847452142873.88,125.455224076505,18
PTBA.JK,42650000000.0,42648590000000.0,1094.0,18
PTIS.JK,,284366754379.936,13.9394693418339,18
PTMP.JK,,136036226335.0,3.622358,5
PTPP.JK,18920000000.0,18921838539997.0,44.0,27
PTRO.JK,,7377340242771.42,639.666759797487,18
PTSN.JK,,2184057074100.64,28.963119632477,31
PTSP.JK,,555686213000.0,39.49,11
PWON.JK,5990000000.0,5987432707000.0,31.95,7
PYFA.JK,,715425027099.0,514.39,24
PZZA.JK,3610000000.0,3612319039640.0,-7.8,11
RAAM.JK,,321849469846.0,14.092994,13
RAJA.JK,186910000.0,1962152044125.41,32.370545471592,18
RALS.JK,3000000000.0,2996613000000.0,56.17,14
RDTX.JK,,509518139997.0,1007.5,7
RICY.JK,,1214494538430.0,-101.27,9
RISE.JK,,319782354630.0,3.0,7
RMBA.JK,,6758955000000.0,26.16,3
RMKE.JK,,2733605088044.0,109.56,18
RODA.JK,,184359553065.0,-2.65,7
ROTI.JK,3940000000.0,3935182048668.0,74.98,2
RSGK.JK,,359156149470.0,52.79,23
RUIS.JK,,1706092477346.0,26.12,18
SAFE.JK,,253248613734.0,16.665509,33
SAGE.JK,,35609948734.0,1.456813,7
SAME.JK,775570000.0,1393542157498.0,0.25,23
SAMF.JK,,3689403867254.0,65.2,8
SCCO.JK,,5469205561730.0,518.0,5
SCMA.JK,7130000000.0,7132533909000.0,13.39,13
SDMU.JK,,86372396655.0,2.7,32
SDPC.JK,,3200833096416.0,19.2,15
SDRA.JK,,2152000000000.0,100.44,19
SFAN.JK,,34950669318.0,-15.23,21
SGER.JK,,10448875185271.0,162.61,18
SGRO.JK,,5671723000000.0,577.0,2
SHID.JK,,90237216111.0,-27.0,11
SHIP.JK,,2085622969252.8,106.86926495406,18
SIDO.JK,3870000000.0,3865523000000.0,36.82,24
SILO.JK,9520000000.0,9518012000000.0,70.74,23
SIMP.JK,17790000000.0,17794246000000.0,77.0,2
SIPD.JK,,6047203000000.0,-162.88,2
SKBM.JK,,3802296289773.0,49.84,2
SKLT.JK,,1539310803104.0,120.89,2
SKRN.JK,,648399834168.0,13.434,5
SLIS.JK,,487151646729.0,21.017633,14
SMAR.JK,,75045559000000.0,1915.0,2
SMBR.JK,1550000000.0,1881767356000.0,10.0,8
SMCB.JK,9380000000.0,12262048000000.0,93.0,8
SMDM.JK,,566402723465.0,34.23,7
SMDR.JK,,17826413406445.2,201.347890493156,32
SMGR.JK,36380000000.0,36378597000000.0,397.0,8
SMMA.JK,,31214453000000.0,133.0,21
SMMT.JK,,1049271370556.0,115.03,18
SMRA.JK,5720000000.0,5719396239000.0,37.88,7
SMRU.JK,,497238211771.0,-1.45,18
SMSM.JK,,4894164000000.0,147.0,10
SOCI.JK,,2231574556725.05,13.9394693418339,18
SOHO.JK,,7290121000000.0,281.0,24
SONA.JK,,318840867806.0,-146.0,14
SPMA.JK,,3138054094849.0,107.0,8
SPTO.JK,2510000000.0,2505644878372.0,76.55,5
SQMI.JK,,5395684820.0,-2.02,8
SRAJ.JK,,1934163680964.0,-3.69,23
SRIL.JK,10160000000.0,8124624212982.96,-298.924175885993,9
SRSN.JK,,977707591000.0,5.59,8
SRTG.JK,6340000000.0,6338674000000.0,342.0,21
SSIA.JK,3610000000.0,3614941222156.0,38.65,27
SSMS.JK,7260000000.0,7261218471000.0,192.9,2
STAA.JK,,6045448000000.0,104.0,2
STAR.JK,,4527998678.0,0.365,21
STTP.JK,,4931553771470.0,476.7,2
SULI.JK,,911865302228.258,143.375186330396,8
SUPR.JK,1820000000.0,1888257000000.0,823.0,6
SURE.JK,,374131420451.0,-45.0,18
TAMU.JK,,173979167363.998,-20.1347890493156,18
TAPG.JK,,9345641000000.0,150.0,2
TARA.JK,,2727272000.0,-0.31,7
TAXI.JK,,2948504000.0,-1.46,33
TBIG.JK,6520000000.0,6524369000000.0,73.44,6
TBLA.JK,16579999999.999998,16579960000000.0,149.758321,2
TCID.JK,,2044821803111.0,46.0,16
TCPI.JK,,1758131000000.0,22.0,18
TDPM.JK,,983232907130.564,,8
TEBE.JK,,781793751000.0,253.26,18
TECH.JK,,19160703697.0,2.57,30
TELE.JK,,2769525000000.0,-45.0,14
TFAS.JK,,765515933170.0,0.72,30
TFCO.JK,,3492118167272.81,10.841809488093,9
TGKA.JK,,12977529294003.0,520.6,2
TGRA.JK,,13755869523.0,2.15,29
TIFA.JK,,147980889000.0,16.02,20
TINS.JK,12500000000.0,12504297000000.0,140.0,8
TIRT.JK,,925150997.0,-85.34,8
TKIM.JK,,17712310625595.3,2304.6589311832,8
TLDN.JK,,3613176678000.0,44.83,2
TLKM.JK,147310000000.0,147306000000000.0,209.49,6
TMAS.JK,,4877926000000.0,23.9,32
TOBA.JK,,9847312606901.18,111.515754734671,18
TOPS.JK,2290000000.0,761937029321.0,-2.81,27
TOTL.JK,,2276815788000.0,26.89,27
TOTO.JK,2089999999.9999998,2086058728390.0,30.37,5
TOWR.JK,11040000000.0,11035650000000.0,69.0,6
TPIA.JK,35730000000000.0,36933259041458.8,-32.525428464279,8
TPMA.JK,,972689975353.46,83.6368160510032,18
TRGU.JK,,3612965915354.0,6.93,2
TRIM.JK,,613750546000.0,24.97,22
TRIN.JK,,275599180000.0,0.05,7
TRIO.JK,,596059531151.0,15.84,14
TRST.JK,,3819385000000.0,49.0,8
TSPC.JK,,12254369318120.0,222.0,24
TUGU.JK,,4020570562000.0,97.5,4
UCID.JK,,10317193000000.0,76.0,16
ULTJ.JK,7660000000.0,7656252000000.0,92.0,2
UNIC.JK,,6382364463366.21,1551.92758672417,8
UNSP.JK,,4189330000000.0,86.71,2
UNTR.JK,123610000000.0,123607460000000.0,5679.0,5
UNVR.JK,41220000000.0,41218881000000.0,141.0,16
URBN.JK,,39804064636.0,3.642127,7
VICI.JK,,1045720530167.0,14.56,16
VICO.JK,,875003306000.0,10.72,21
VIVA.JK,2770000000.0,1698619532000.0,-104.558,13
VKTR.JK,,1071130000000.0,1.133623,10
VTNY.JK,,73184040737.0,0.26,20
WEGE.JK,,2366259622099.0,24.03,27
WEHA.JK,,183435869223.0,18.0,33
WIIM.JK,,3704350294106.0,119.33,3
WIKA.JK,21480000000.0,21480791864000.0,-6.64,27
WINE.JK,,189386467213.0,7.83594,2
WINS.JK,829000000.0,944796539621.676,3.87207481717607,18
WIRG.JK,,1694478768356.0,3.47,30
WMPP.JK,,4390077670408.0,-10.46,2
WMUU.JK,,2457607034533.0,-0.07,2
WOMF.JK,,1359759000000.0,56.76,20
WOOD.JK,4530000000.0,4526699532441.0,27.99,1
WSBP.JK,,2062171056660.0,27.56,8
WSKT.JK,12220000000.0,15302872338467.0,-65.95,27
WTON.JK,6000000000.0,6003788032167.0,18.69,8
