symbol,sub_sector_id,estimate_overall_growth_current_year,estimate_overall_growth_next_year,estimate_overall_growth_next_five_years,estimate_growth_earnings_current_year,estimate_growth_earnings_next_year,estimate_growth_revenue_current_year,estimate_growth_revenue_next_year
MTLA.JK,7,,,,,,,
MTMH.JK,23,,,,,,,
MTPS.JK,27,,,,,,,
MYOH.JK,18,,,,,,,
MYOR.JK,2,0.293,0.217,0.3864,0.2933333333333333,0.5737931034482757,0.09066344602667786,0.19826253038805403
MYTX.JK,9,,,,,,,
NASA.JK,7,,,,,,,
NATO.JK,11,,,,,,,
NETV.JK,13,,,,,,,
NFCX.JK,30,,,,,,,
NICL.JK,8,,,,,,,
NIKL.JK,8,,,,,,-0.6738218704861635,-0.6106090546889084
NIRO.JK,7,,,,,,,
NISP.JK,19,,,,,,,
NOBU.JK,19,,,,,,,
NRCA.JK,27,,,,,,,
NSSS.JK,2,,,,,,,
OMED.JK,23,,,,,,,
OMRE.JK,7,,,,,,,
PADI.JK,22,,,,,,,
PALM.JK,2,,,,,,,
PANI.JK,2,,,,,,,
PANS.JK,22,,,,,,,
PBID.JK,8,,,,,,,
PBRX.JK,9,,,,,,-0.9549010238496082,-0.9482578136697787
PBSA.JK,27,,,,,,,
PCAR.JK,15,,,,,,,
PEHA.JK,24,,,,,,,
PGAS.JK,18,0.054000000000000006,0.077,0.1557,0.015506045279129067,0.09357987044559803,1008.2006999760565,1036.2441041525155
PGEO.JK,29,,,,,,,
PGLI.JK,11,,,,,,,
PGUN.JK,2,,,,,,,
PICO.JK,8,,,,,,,
PIPA.JK,5,,,,,,,
PJAA.JK,11,,,,,,,
PLIN.JK,7,,,,,,,
PMJS.JK,14,,,,,,,
PNBN.JK,19,,,0.1371,,,-0.37037667682850806,-0.34989388130807764
PNBS.JK,19,,,,,,,
PNIN.JK,4,,,,,,,
PNLF.JK,4,,,,,,0.6868884568948435,0.793700171414386
POLA.JK,20,,,,,,,
POLI.JK,7,,,,,,,
POLL.JK,7,,,,,,,
POLU.JK,9,,,,,,,
PORT.JK,28,,,,,,,
POSA.JK,7,,,,,,,
POWR.JK,29,,,0.15869999999999998,,0.3245623057373042,1003.041053255481,1001.8681080998086
PPRE.JK,27,,,,,,,
PPRO.JK,7,,,,,,0.36682734187855487,
PRAY.JK,23,,,,,,,
PRDA.JK,23,,,0.41409999999999997,,,,
PRIM.JK,23,,,,,,,
PSAB.JK,8,,,,,,,
PSGO.JK,2,,,,,,,
PSSI.JK,18,,,,,,,
PTBA.JK,18,-0.494,-0.138,0.07769999999999999,-0.49364716636197437,-0.5634460694698356,-0.08531559894477168,-0.12025227563209007
PTIS.JK,18,,,,,,,
PTMP.JK,5,,,,,,,
PTPP.JK,27,1.3769999999999998,-0.485,0.0949,1.3772727272727272,0.22499999999999998,0.2292674388291068,0.23349535779326538
PTRO.JK,18,,,,,,,
PTSN.JK,31,,,,,,,
PTSP.JK,11,,,,,,,
PWON.JK,7,0.264,0.08,0.1444,0.2644757433489828,0.3658841940532082,0.015460264445524063,0.07224587133885929
PYFA.JK,24,,,,,,,
PZZA.JK,11,1.179,4.928999999999999,,-1.1794871794871795,-2.0641025641025643,0.0325776762984169,0.0741022477313291
RAAM.JK,13,,,,,,,
RAJA.JK,18,,,,,,-0.8938920148296657,-0.888285925315383
RALS.JK,14,-0.126,0.19699999999999998,0.1819,-0.1260459319921666,0.045931992166636966,-0.05893754048320554,0.044512588045236404
RDTX.JK,7,,,,,,,
RICY.JK,9,,,,,,,
RISE.JK,7,,,,,,,
RMBA.JK,3,,,,,,,
RMKE.JK,18,,,,,,,
RODA.JK,7,,,,,,,
ROTI.JK,2,-0.204,0.266,,-0.2035209389170446,0.008268871699119636,0.04188318336829873,0.15877739418522993
RSGK.JK,23,,,,,,,
RUIS.JK,18,,,,,,,
SAFE.JK,33,,,,,,,
SAGE.JK,7,,,,,,,
SAME.JK,23,,,,,,-0.31541360635057125,-0.18194078746294678
SAMF.JK,8,,,,,,,
SCCO.JK,5,,,,,,,
SCMA.JK,13,-0.07,0.18,0.1003,-0.07020164301717709,0.09708737864077661,-0.05924036455919778,0.005252844427802075
SDMU.JK,32,,,,,,,
SDPC.JK,15,,,,,,,
SDRA.JK,19,,,,,,,
SFAN.JK,21,,,,,,,
SGER.JK,18,,,,,,,
SGRO.JK,2,,,0.0359,,,,
SHID.JK,11,,,,,,,
SHIP.JK,18,,,,,,,
SIDO.JK,24,-0.069,0.076,0.0969,-0.068984247691472,0.0019011406844106542,-0.037646393515185395,0.014093047693675604
SILO.JK,23,0.04,0.145,0.4839,0.03731976251060221,0.18772971444727174,0.14099456903395374,0.2565649213302105
SIMP.JK,2,-0.792,0.1,0.154,-0.7922077922077922,-0.7714285714285715,-0.2306501775911157,-0.1469152443997908
SIPD.JK,2,,,,,,,
SKBM.JK,2,,,,,,,
SKLT.JK,2,,,,,,,
SKRN.JK,5,,,,,,,
SLIS.JK,14,,,,,,,
SMAR.JK,2,,,,,,,
SMBR.JK,8,,,,,,-0.08065149792087263,-0.000939200052740207
SMCB.JK,8,,,0.1393,,,-0.21954309753150533,-0.1600098123902304
SMDM.JK,7,,,,,,,
SMDR.JK,32,,,,,,,
SMGR.JK,8,0.028999999999999998,0.204,0.2462,0.028765743073047897,0.23813602015113355,0.0712342754724708,0.11549106745375584
SMMA.JK,21,,,,,,,
SMMT.JK,18,,,,,,,
SMRA.JK,7,0.187,0.10800000000000001,0.34299999999999997,0.18743400211193226,0.31546990496304106,0.09452112398047825,0.2064210471989297
SMRU.JK,18,,,,,,,
SMSM.JK,10,,,0.10830000000000001,,,,
SOCI.JK,18,,,,,,,
SOHO.JK,24,,,,,,,
SONA.JK,14,,,,,,,
SPMA.JK,8,,,,,,,
SPTO.JK,5,,,,,,-0.01821681865853919,
SQMI.JK,8,,,,,,,
SRAJ.JK,23,,,,,,,
SRIL.JK,9,,,,,,0.8351618006127801,0.9951692010686228
SRSN.JK,8,,,,,,,
SRTG.JK,21,-0.363,-0.23199999999999998,,-0.37040935672514624,-0.516608187134503,-0.4620325954608172,-0.5219820423009608
SSIA.JK,27,-0.179,0.58,-0.5153,-0.1793014230271669,0.2967658473479948,0.20887166109817756,0.31399093597628
SSMS.JK,2,-0.616,-0.257,,-0.616381544841887,-0.7148781752203214,-0.27009495428801017,-0.29901572025018336
STAA.JK,2,,,,,,,
STAR.JK,21,,,,,,,
STTP.JK,2,,,,,,,
SULI.JK,8,,,,,,,
SUPR.JK,6,,,0.05,,,0.011514852056685081,0.271013426668086
SURE.JK,18,,,,,,,
TAMU.JK,18,,,,,,,
TAPG.JK,2,,,,,,,
TARA.JK,7,,,,,,,
TAXI.JK,33,,,,,,235.73021979960006,
TBIG.JK,6,-0.064,0.10099999999999999,0.0654,-0.06372549019607833,0.030909586056644827,0.020788370492226912,0.06523711335149805
